2016-09-15 20:48:31 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 20:49:46 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 20:49:46 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:49:46 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:49:46 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 20:49:58 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 20:49:58 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:49:58 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:49:58 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 20:50:33 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 20:50:33 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:50:33 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:50:33 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 20:51:59 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 20:51:59 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:51:59 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:51:59 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 20:53:14 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 20:53:14 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:53:14 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 20:53:14 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:14:37 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:14:37 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
